기준년월일,업종별 구분,소비액(천원)
2020,전체,1327716924
2021,전체,1074199875
2022,전체,2865481652
2023,전체,6911780091
2024,전체,9255179312
2020,쇼핑업,498892857
2020,숙박업,470983690
2020,여가서비스업,98279197
2020,운송업,13591819
2020,식음료업,238614041
2020,여행업,7355320
2021,쇼핑업,336993783
2021,식음료업,222802698
2021,여가서비스업,36500500
2021,여행업,1362367
2021,운송업,10819517
2021,숙박업,465721011
2022,식음료업,548027731
2022,숙박업,1170395456
2022,쇼핑업,932237128
2022,여가서비스업,177386446
2022,운송업,32706974
2022,여행업,4727917
2023,운송업,68226942
2023,쇼핑업,2501233059
2023,여가서비스업,443600676
2023,여행업,9329458
2023,숙박업,2646029598
2023,식음료업,1243360357
2024,숙박업,3137614471
2024,여행업,12087810
2024,운송업,92505250
2024,쇼핑업,3502583339
2024,여가서비스업,561796716
2024,의료업,168177136
2024,식음료업,1780414590
