"시점","소유주택 명의별(1)",혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별
"시점","소유주택 명의별(1)",혼인 1년차,혼인 2년차,혼인 3년차,혼인 4년차,혼인 5년차
"2015","합계",137438,152111,170783,180732,187422
"2016","합계",132058,150014,166364,184189,194704
"2017","합계",118845,144080,163170,178554,197108
"2018","합계",114497,131188,157833,175279,192409
"2019","합계",101655,124581,140748,167375,186692
"2020","합계",90376,111539,134956,149263,177087
"2021","합계",81205,99948,121705,143466,157439
"2022","합계",81524,86427,104579,126342,149057
"2023","합계",93752,87535,92847,112785,135590
