"시점","소유주택 명의별(1)","신혼부부 특성별(1)",신혼부부 특성별(2),데이터
"2015","합계","혼인연차별",혼인 1년차,137438
"2015","합계","혼인연차별",혼인 2년차,152111
"2015","합계","혼인연차별",혼인 3년차,170783
"2015","합계","혼인연차별",혼인 4년차,180732
"2015","합계","혼인연차별",혼인 5년차,187422
"2016","합계","혼인연차별",혼인 1년차,132058
"2016","합계","혼인연차별",혼인 2년차,150014
"2016","합계","혼인연차별",혼인 3년차,166364
"2016","합계","혼인연차별",혼인 4년차,184189
"2016","합계","혼인연차별",혼인 5년차,194704
"2017","합계","혼인연차별",혼인 1년차,118845
"2017","합계","혼인연차별",혼인 2년차,144080
"2017","합계","혼인연차별",혼인 3년차,163170
"2017","합계","혼인연차별",혼인 4년차,178554
"2017","합계","혼인연차별",혼인 5년차,197108
"2018","합계","혼인연차별",혼인 1년차,114497
"2018","합계","혼인연차별",혼인 2년차,131188
"2018","합계","혼인연차별",혼인 3년차,157833
"2018","합계","혼인연차별",혼인 4년차,175279
"2018","합계","혼인연차별",혼인 5년차,192409
"2019","합계","혼인연차별",혼인 1년차,101655
"2019","합계","혼인연차별",혼인 2년차,124581
"2019","합계","혼인연차별",혼인 3년차,140748
"2019","합계","혼인연차별",혼인 4년차,167375
"2019","합계","혼인연차별",혼인 5년차,186692
"2020","합계","혼인연차별",혼인 1년차,90376
"2020","합계","혼인연차별",혼인 2년차,111539
"2020","합계","혼인연차별",혼인 3년차,134956
"2020","합계","혼인연차별",혼인 4년차,149263
"2020","합계","혼인연차별",혼인 5년차,177087
"2021","합계","혼인연차별",혼인 1년차,81205
"2021","합계","혼인연차별",혼인 2년차,99948
"2021","합계","혼인연차별",혼인 3년차,121705
"2021","합계","혼인연차별",혼인 4년차,143466
"2021","합계","혼인연차별",혼인 5년차,157439
"2022","합계","혼인연차별",혼인 1년차,81524
"2022","합계","혼인연차별",혼인 2년차,86427
"2022","합계","혼인연차별",혼인 3년차,104579
"2022","합계","혼인연차별",혼인 4년차,126342
"2022","합계","혼인연차별",혼인 5년차,149057
"2023","합계","혼인연차별",혼인 1년차,93752
"2023","합계","혼인연차별",혼인 2년차,87535
"2023","합계","혼인연차별",혼인 3년차,92847
"2023","합계","혼인연차별",혼인 4년차,112785
"2023","합계","혼인연차별",혼인 5년차,135590
