,1월 합계,2월 합계,3월 합계,4월 합계,5월 합계,6월 합계,7월 합계,8월 합계,9월 합계,10월 합계,11월 합계,12월 합계
0,113,114,86,118,128,95,194,156,125,104,188,132
1,68,133,30,32,26,30,73,65,49,30,89,48
2,6,28,1,4,5,7,21,26,5,9,30,11
3,3,10,1,2,0,1,7,6,4,2,21,3
4,1,2,0,0,0,0,2,0,2,0,5,1
5,0,1,0,0,0,0,2,0,1,0,3,0
6,0,1,0,0,0,0,3,0,0,0,2,0
7,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,2,0
12,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
